"GO.ID","Term","Annotated","Significant","Expected","weight01","GeneRatio"
"GO:0009408","response to heat",57,12,3.62,0.00704,0.210526315789474
"GO:0042254","ribosome biogenesis",361,77,22.93,1.2e-05,0.213296398891967
"GO:0000055","ribosomal large subunit export from nucl...",27,6,1.71,0.00597,0.222222222222222
"GO:0006364","rRNA processing",246,55,15.62,2.1e-05,0.223577235772358
"GO:0042273","ribosomal large subunit biogenesis",112,26,7.11,2.8e-05,0.232142857142857
"GO:0000447","endonucleolytic cleavage in ITS1 to sepa...",33,8,2.1,0.00084,0.242424242424242
"GO:0000462","maturation of SSU-rRNA from tricistronic...",82,21,5.21,6.1e-06,0.25609756097561
"GO:0000466","maturation of 5.8S rRNA from tricistroni...",70,18,4.45,6.5e-05,0.257142857142857
"GO:0042274","ribosomal small subunit biogenesis",107,28,6.8,0.00311,0.261682242990654
"GO:0000480","endonucleolytic cleavage in 5'-ETS of tr...",24,7,1.52,0.00053,0.291666666666667
"GO:0000472","endonucleolytic cleavage to generate mat...",24,7,1.52,0.00053,0.291666666666667
"GO:0006123","mitochondrial electron transport, cytoch...",13,4,0.83,0.00723,0.307692307692308
"GO:0000463","maturation of LSU-rRNA from tricistronic...",41,13,2.6,1e-06,0.317073170731707
"GO:0006616","SRP-dependent cotranslational protein ta...",11,4,0.7,0.0037,0.363636363636364
"GO:0042026","protein refolding",21,8,1.33,2.4e-05,0.380952380952381
"GO:0006452","translational frameshifting",7,3,0.44,0.00734,0.428571428571429
"GO:0051083","'de novo' cotranslational protein foldin...",6,3,0.38,0.0044,0.5
"GO:0006207","'de novo' pyrimidine nucleobase biosynth...",7,4,0.44,0.00048,0.571428571428571
"GO:0051085","chaperone cofactor-dependent protein ref...",10,6,0.64,1.1e-05,0.6
"GO:0044205","'de novo' UMP biosynthetic process",5,3,0.32,0.00231,0.6
